,soundname,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll / dur),articulation rate(nsyll / phonationtime),ASD(speakingtime / nsyll)
27,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SX306.waV,9,0,2.496,2.496,3.605769230769231,3.605769230769231,0.2773333333333333
28,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SX36.waV,14,0,3.52,3.52,3.977272727272727,3.977272727272727,0.25142857142857145
29,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FELC0\SX396.waV,13,0,3.8208125,3.8208125,3.4024176794857115,3.8253225317014405,0.2614158653846154
30,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SA1.waV,11,0,3.744,3.744,2.938034188034188,2.938034188034188,0.34036363636363637
31,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SA2.waV,9,0,3.456,3.456,2.6041666666666665,2.9605263157894735,0.3377777777777778
32,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SI1264.waV,11,1,3.449625,3.449625,3.188752400623256,4.342998149290562,0.23025568181818182
33,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SI1894.waV,9,1,2.944,2.944,3.057065217391304,3.5377358490566038,0.2826666666666667
34,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SI634.waV,18,1,6.0864375,6.0864375,2.9573950278796097,3.9445840723721615,0.2535121527777777
35,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SX184.waV,7,0,2.9184375,2.9184375,2.398543741299925,3.2407407407407405,0.3085714285714286
36,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SX274.waV,9,1,3.92325,3.92325,2.2940164404511565,3.3461913835571875,0.2988472222222222
37,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SX364.waV,22,0,5.7984375,5.7984375,3.7941255726219345,4.04172623045877,0.24741903409090912
38,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SX4.waV,10,0,3.0144375,3.0144375,3.317368497439406,3.317368497439406,0.30144375
39,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\FJEM0\SX94.waV,8,0,3.2064375,3.2064375,2.49498080034306,2.9035807047988476,0.34440234375
40,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SA1.waV,13,0,2.848,2.848,4.564606741573034,4.564606741573034,0.21907692307692306
41,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SA2.waV,8,0,2.4384375,2.4384375,3.28078943995899,3.28078943995899,0.3048046875
42,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SI1039.waV,19,0,3.9424375,3.9424375,4.819353509091774,4.819353509091774,0.2074967105263158
43,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SI1669.waV,8,0,2.0608125,2.0608125,3.8819640311770236,3.8819640311770236,0.2576015625
44,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SI2299.waV,12,0,2.5984375,2.5984375,4.6181599518941665,4.6181599518941665,0.21653645833333335
45,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SX139.waV,11,0,2.361625,2.361625,4.657809770814588,4.657809770814588,0.21469318181818184
46,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SX229.waV,6,0,1.305625,1.305625,4.59550023934897,4.59550023934897,0.21760416666666668
47,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SX319.waV,10,0,2.4384375,2.4384375,4.100986799948737,4.100986799948737,0.24384375
48,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SX409.waV,11,0,2.88,2.88,3.8194444444444446,3.8194444444444446,0.2618181818181818
49,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MDAB0\SX49.waV,10,0,2.201625,2.201625,4.542099585533413,4.542099585533413,0.22016249999999998
50,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SA1.waV,11,0,3.097625,3.097625,3.551107703482507,3.551107703482507,0.28160227272727273
51,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SA2.waV,8,0,2.4,2.4,3.3333333333333335,3.3333333333333335,0.3
52,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SI1010.waV,15,0,4.6528125,4.6528125,3.2238565383840423,3.2238565383840423,0.31018749999999995
53,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SI1640.waV,4,0,1.632,1.632,2.450980392156863,2.450980392156863,0.408
54,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SI2270.waV,7,0,2.4384375,2.4384375,2.8706907599641163,2.8706907599641163,0.3483482142857143
55,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SX110.waV,10,0,2.8864375,2.8864375,3.464478271225343,4.188975141050648,0.23872187499999997
56,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SX20.waV,8,0,3.53925,3.53925,2.260365896729533,3.142646697765774,0.31820312500000003
57,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SX200.waV,9,0,2.5344375,2.5344375,3.5510838203743433,4.492769449167745,0.22257986111111114
58,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SX290.waV,13,0,3.609625,3.609625,3.6014821484226203,3.6014821484226203,0.27766346153846155
59,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MJSW0\SX380.waV,5,0,4.0768125,4.0768125,1.2264483588587898,2.909672843659641,0.34368125000000005
60,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SA1.waV,11,0,3.257625,3.257625,3.376693143010629,3.376693143010629,0.29614772727272726
61,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SA2.waV,9,0,2.3488125,2.3488125,3.831723477289055,3.831723477289055,0.2609791666666667
62,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SI1375.waV,22,1,4.40325,4.40325,4.996309544086754,5.366835396718913,0.18632954545454544
63,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SI2005.waV,15,1,4.97925,4.97925,3.0125018828136767,3.9045976637490636,0.2561083333333334
64,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SI745.waV,6,0,1.792,1.792,3.3482142857142856,3.3482142857142856,0.2986666666666667
65,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SX115.waV,9,0,2.521625,2.521625,3.5691270510087745,3.5691270510087745,0.28018055555555554
66,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SX205.waV,14,0,3.04,3.04,4.605263157894737,4.605263157894737,0.21714285714285714
67,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SX25.waV,7,0,2.176,2.176,3.2169117647058822,3.2169117647058822,0.3108571428571429
68,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SX295.waV,11,0,3.1488125,3.1488125,3.493380441039281,3.493380441039281,0.28625568181818184
69,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MREB0\SX385.waV,9,0,1.856,1.856,4.849137931034482,4.849137931034482,0.20622222222222222
70,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SA1.waV,12,0,3.05925,3.05925,3.9225300318705565,3.9225300318705565,0.2549375
71,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SA2.waV,9,0,2.19525,2.19525,4.099760847283908,4.099760847283908,0.24391666666666667
72,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SI1364.waV,13,0,3.264,3.264,3.982843137254902,3.982843137254902,0.2510769230769231
73,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SI1624.waV,6,0,1.625625,1.625625,3.6908881199538635,3.6908881199538635,0.2709375
74,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SI734.waV,14,0,4.5248125,4.5248125,3.0940508584609856,3.0940508584609856,0.3232008928571429
75,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SX104.waV,6,0,1.689625,1.689625,3.551083820374344,3.551083820374344,0.28160416666666666
76,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SX14.waV,11,0,2.70725,2.70725,4.063163727029273,4.063163727029273,0.24611363636363637
77,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SX194.waV,4,0,1.625625,1.625625,2.4605920799692425,2.4605920799692425,0.40640625
78,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SX284.waV,15,0,3.37925,3.37925,4.438854775467929,4.438854775467929,0.22528333333333334
79,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MRJO0\SX374.waV,7,0,1.7984375,1.7984375,3.892267593397046,3.892267593397046,0.25691964285714286
80,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SA1.waV,11,0,2.496,2.496,4.407051282051282,4.407051282051282,0.22690909090909092
81,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SA2.waV,7,0,2.208,2.208,3.1702898550724634,3.1702898550724634,0.31542857142857145
82,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SI1899.waV,6,0,1.433625,1.433625,4.185194873136281,4.185194873136281,0.2389375
83,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SI639.waV,9,0,2.016,2.016,4.464285714285714,5.382775119617224,0.1857777777777778
84,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SI869.waV,15,0,3.4944375,3.4944375,4.292536352417234,4.292536352417234,0.23296250000000002
85,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SX189.waV,7,0,2.233625,2.233625,3.1339190777323855,4.510309278350515,0.22171428571428572
86,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SX279.waV,14,0,3.001625,3.001625,4.664140257360596,5.527452190006168,0.1809151785714286
87,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SX369.waV,8,0,1.881625,1.881625,4.251644190526805,5.302183008160392,0.1886015625
88,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SX9.waV,5,0,1.97125,1.97125,2.5364616360177554,3.9012971813127866,0.256325
89,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSJS1\SX99.waV,10,0,2.5024375,2.5024375,3.9961037987961734,4.91347674543584,0.20352187500000002
90,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SA1.waV,14,0,3.6288125,3.6288125,3.8580114018015537,3.8580114018015537,0.2592008928571429
91,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SA2.waV,13,0,2.816,2.816,4.616477272727273,5.191693290734825,0.19261538461538458
92,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SI1024.waV,16,1,4.1728125,4.1728125,3.834344342095409,4.332740966404333,0.23080078125
93,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SI2222.waV,12,0,3.84,3.84,3.125,3.125,0.32
94,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SI2284.waV,14,0,2.7264375,2.7264375,5.134905898264678,5.134905898264678,0.1947455357142857
95,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SX124.waV,9,0,1.9328125,1.9328125,4.65642683912692,4.65642683912692,0.21475694444444446
96,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SX214.waV,13,0,3.0144375,3.0144375,4.312579046671228,4.312579046671228,0.2318798076923077
97,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SX304.waV,9,0,2.553625,2.553625,3.524401585980714,3.524401585980714,0.2837361111111111
98,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SX34.waV,8,0,1.8688125,1.8688125,4.280793284505535,4.280793284505535,0.2336015625
99,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MSTK0\SX394.waV,6,0,2.585625,2.585625,2.3205221174764326,2.3205221174764326,0.4309375
100,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SA1.waV,10,0,3.5904375,3.5904375,2.785175901265514,2.785175901265514,0.35904375
101,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SA2.waV,10,0,3.02725,3.02725,3.3033281030638366,3.7402403104399453,0.26736250000000006
102,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SI1553.waV,19,0,4.75525,4.75525,3.995583828400189,4.316587623888903,0.2316644736842106
103,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SI2183.waV,5,0,1.8944375,1.8944375,2.6393058625581474,3.3173684974394066,0.30144374999999995
104,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SI923.waV,11,0,2.96325,2.96325,3.7121403864000677,3.7121403864000677,0.26938636363636365
105,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SX113.waV,12,0,3.328,3.328,3.605769230769231,3.9682539682539684,0.252
106,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SX203.waV,10,0,3.129625,3.129625,3.195270998921596,3.195270998921596,0.3129625
107,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SX23.waV,9,0,3.168,3.168,2.840909090909091,3.196022727272727,0.31288888888888894
108,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SX293.waV,14,0,3.6224375,3.6224375,3.8648009800031056,3.8648009800031056,0.2587455357142857
109,C:\Users\Ian\Desktop\OUTPUT\TEST\DR1\MWBT0\SX383.waV,10,0,3.904,3.904,2.5614754098360657,3.221649484536083,0.31039999999999995
110,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SA1.waV,11,1,3.52,3.52,3.125,3.4375,0.29090909090909095
111,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SA2.waV,8,0,3.18725,3.18725,2.510000784375245,3.103632219581979,0.32220312500000003
112,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SI1105.waV,13,0,4.48,4.48,2.901785714285714,3.727064220183486,0.2683076923076923
113,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SI1735.waV,4,1,2.3168125,2.3168125,1.7265100218511424,2.2361203312253237,0.44720312500000003
114,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SI475.waV,8,0,1.9328125,1.9328125,4.139046079223929,4.139046079223929,0.2416015625
115,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SX115.waV,10,0,2.96325,2.96325,3.374673078545516,3.374673078545516,0.296325
116,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SX205.waV,14,0,4.3648125,4.3648125,3.2074688202528745,3.814291674116455,0.262171875
117,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SX25.waV,7,0,2.272,2.272,3.080985915492958,3.080985915492958,0.32457142857142857
118,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SX295.waV,12,0,3.4048125,3.4048125,3.524423151054574,3.524423151054574,0.283734375
119,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FCMR0\SX385.waV,9,0,2.272,2.272,3.961267605633803,3.961267605633803,0.2524444444444444
120,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SA1.waV,12,0,3.4944375,3.4944375,3.4340290819337875,3.4340290819337875,0.291203125
121,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SA2.waV,11,0,2.944,2.944,3.7364130434782608,4.192073170731707,0.23854545454545456
122,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SI1544.waV,8,0,2.585625,2.585625,3.0940294899685763,3.0940294899685763,0.323203125
123,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SI1566.waV,20,1,4.72325,4.72325,4.234372518922352,4.525654805679697,0.2209625
124,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SI2149.waV,19,1,5.0944375,5.0944375,3.7295579737704116,4.117511614362531,0.24286513157894732
125,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SX104.waV,7,0,1.9008125,1.9008125,3.6826357149903,3.6826357149903,0.27154464285714286
126,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SX14.waV,10,0,3.04,3.04,3.289473684210526,3.6549707602339185,0.27359999999999995
127,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SX194.waV,5,0,2.24,2.24,2.2321428571428568,3.125,0.32
128,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SX284.waV,13,0,3.3728125,3.3728125,3.85435004169369,4.245027909017623,0.23556971153846154
129,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FDRD1\SX374.waV,7,0,2.2528125,2.2528125,3.1072270772645303,3.1072270772645303,0.3218303571428572
130,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SA1.waV,16,0,3.5584375,3.5584375,4.496355493106173,4.945569754749968,0.202201171875
131,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SA2.waV,9,0,2.3808125,2.3808125,3.7802220880476725,3.7802220880476725,0.26453472222222224
132,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SI1400.waV,15,0,3.9104375,3.9104375,3.835887928141033,3.835887928141033,0.26069583333333335
133,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SI2030.waV,8,0,2.336,2.336,3.4246575342465757,3.4246575342465757,0.292
134,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SI770.waV,16,1,4.761625,4.761625,3.360197411597931,3.7091773160624766,0.2696015625
135,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SX140.waV,13,0,3.2,3.2,4.0625,4.488950276243094,0.22276923076923077
136,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SX230.waV,10,1,3.3088125,3.3088125,3.0222322963298764,3.345810418017189,0.29888125
137,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SX320.waV,14,0,3.3664375,3.3664375,4.158698921337467,4.158698921337467,0.24045982142857142
138,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SX410.waV,8,0,2.7008125,2.7008125,2.9620715988244277,2.9620715988244277,0.3376015625
139,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJAS0\SX50.waV,14,0,3.104,3.104,4.510309278350515,4.510309278350515,0.22171428571428572
140,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SA1.waV,10,0,3.001625,3.001625,3.3315287552575685,3.3315287552575685,0.3001625
141,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SA2.waV,9,0,2.752,2.752,3.2703488372093026,3.2703488372093026,0.30577777777777776
142,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SI1116.waV,8,0,2.41925,2.41925,3.3068099617650097,3.3068099617650097,0.30240625
143,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SI1587.waV,17,1,4.9024375,4.9024375,3.4676627697956377,4.052232079674034,0.2467775735294118
144,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SI1746.waV,9,0,2.4128125,2.4128125,3.7300867763243106,4.380827793918559,0.22826736111111112
145,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SX126.waV,7,1,2.112,2.112,3.3143939393939394,3.9414414414414414,0.2537142857142857
146,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SX216.waV,7,0,2.08,2.08,3.3653846153846154,3.3653846153846154,0.29714285714285715
147,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SX306.waV,8,0,2.784,2.784,2.873563218390805,3.7593984962406015,0.266
148,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SX36.waV,12,0,3.02725,3.02725,3.9639937236766043,3.9639937236766043,0.25227083333333333
149,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJRE0\SX396.waV,17,0,3.616,3.616,4.701327433628318,5.3125,0.18823529411764706
150,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SA1.waV,12,0,3.1488125,3.1488125,3.8109604811337605,3.8109604811337605,0.26240104166666667
151,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SA2.waV,10,0,2.5664375,2.5664375,3.896451793585466,3.896451793585466,0.25664375
152,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SI1265.waV,11,0,3.065625,3.065625,3.5881753312945976,5.043991631559338,0.19825568181818182
153,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SI635.waV,18,1,4.78725,4.78725,3.759987466708444,4.087889626980072,0.24462499999999998
154,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SI992.waV,19,0,4.217625,4.217625,4.504905011706826,4.504905011706826,0.22198026315789474
155,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SX185.waV,9,0,2.137625,2.137625,4.210280100578914,4.210280100578914,0.23751388888888889
156,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SX275.waV,8,0,2.5408125,2.5408125,3.148599119376184,3.148599119376184,0.3176015625
157,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SX365.waV,13,0,3.5584375,3.5584375,3.653288838148766,3.653288838148766,0.27372596153846157
158,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SX5.waV,5,0,1.5104375,1.5104375,3.310299168287334,3.310299168287334,0.3020875
159,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FJWB0\SX95.waV,13,0,2.7648125,2.7648125,4.701946334516355,4.701946334516355,0.21267788461538462
160,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FPAS0\SA1.waV,11,0,2.809625,2.809625,3.9151132268541176,3.9151132268541176,0.25542045454545453
161,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FPAS0\SA2.waV,10,0,2.35525,2.35525,4.245833775607685,4.245833775607685,0.23552499999999998
162,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FPAS0\SI1272.waV,6,0,1.856,1.856,3.232758620689655,3.232758620689655,0.30933333333333335
163,C:\Users\Ian\Desktop\OUTPUT\TEST\DR2\FPAS0\SI2204.waV,16,0,3.85925,3.85925,4.14588326747425,4.522808381329281,0.22110156250000002
